date,year,side,entry,candle,d30_pts,d30_close_pts,prot_pts,mae_wick_pts,mae_wick_min,mae_close_pts,mfe_wick_pts,mfe_wick_min,gap_born_min,gap_far_below_entry_pts,c_min,dep2_min,dep2_pts,dep4_min,dep4_pts,dep6_min,dep6_pts,dep8_min,dep8_pts,dep12_min,dep12_pts
2006-03-16,2006,1,1719.5000,0.5000,0.5000,0.0000,0.5000,-3.5000,20,-2.5000,0.5000,2,22.0000,2.5000,,2.0000,-2.0000,19.0000,-2.5000,,0.5000,,0.5000,,0.5000
2006-03-20,2006,-1,1709.5000,0.5000,-1.0000,-1.0000,0.0000,-4.0000,10,-3.0000,2.5000,3,3.0000,0.0000,5.0000,10.0000,-3.5000,10.0000,-3.5000,,-1.0000,,-1.0000,,-1.0000
2006-03-27,2006,1,1697.5000,0.5000,5.0000,5.5000,5.0000,-1.5000,2,-1.0000,7.5000,11,6.0000,-0.5000,,,5.0000,,5.0000,,5.0000,,5.0000,,5.0000
2006-03-28,2006,-1,1699.0000,0.5000,-0.5000,-0.5000,-0.5000,-5.0000,14,-4.0000,1.0000,29,18.0000,3.5000,,1.0000,-1.0000,12.0000,-3.0000,13.0000,-3.5000,,-0.5000,,-0.5000
2006-04-07,2006,-1,1758.0000,1.0000,1.0000,1.0000,1.0000,-8.0000,6,-6.5000,2.0000,29,10.0000,5.5000,,2.0000,-3.0000,4.0000,-5.0000,8.0000,-6.5000,,1.0000,,1.0000
2006-04-13,2006,-1,1716.0000,0.5000,-1.0000,-1.0000,-2.0000,-2.5000,6,-2.0000,3.0000,26,13.0000,1.5000,19.0000,3.0000,-1.5000,,-1.0000,,-1.0000,,-1.0000,,-1.0000
2006-04-19,2006,-1,1742.5000,0.5000,0.5000,0.5000,0.5000,-3.5000,3,-3.5000,3.0000,20,13.0000,2.5000,,2.0000,-2.0000,3.0000,-3.5000,3.0000,-3.5000,,0.5000,,0.5000
2006-04-21,2006,1,1747.0000,1.0000,-6.0000,-6.0000,-6.0000,-8.0000,26,-7.5000,0.5000,2,,,,9.0000,-4.0000,11.0000,-6.0000,24.0000,-7.0000,,-6.0000,,-6.0000
2006-04-28,2006,1,1722.0000,1.0000,-5.0000,-5.0000,-5.0000,-5.5000,28,-5.0000,0.0000,1,18.0000,4.0000,28.0000,2.0000,-3.0000,13.0000,-4.5000,,-5.0000,,-5.0000,,-5.0000
2006-05-01,2006,-1,1714.5000,1.0000,-2.5000,-2.0000,-1.5000,-2.5000,26,-2.0000,3.5000,10,7.0000,-0.5000,20.0000,,-2.5000,,-2.5000,,-2.5000,,-2.5000,,-2.5000
2006-05-02,2006,1,1704.0000,1.5000,-6.0000,-6.0000,-6.0000,-7.0000,16,-6.0000,0.0000,1,19.0000,6.0000,,7.0000,-3.5000,,-6.0000,,-6.0000,,-6.0000,,-6.0000
2006-05-03,2006,1,1697.0000,1.0000,-2.5000,-3.0000,-3.0000,-6.0000,21,-5.0000,0.0000,1,12.0000,2.5000,15.0000,8.0000,-3.0000,17.0000,-4.0000,,-2.5000,,-2.5000,,-2.5000
