date,p0_status,p0_reason,side,A_status,A_reason,RA,B_status,B_reason,RB,morning_A,downstream_A,downstream_B,epoch,D,D_decomp
20160101,no,calendar_closed,,not_in_P0,calendar_closed,,not_in_P0,calendar_closed,,,,,2013-19,,
20160104,yes,ok,-1.0,resolved,ok,28.0,resolved,ok,-4.0,28.0,0.0,-4.0,2013-19,32.0,32.0
20160105,yes,ok,1.0,resolved,ok,-25.5,resolved,ok,-5.75,-19.75,-5.75,-5.75,2013-19,-19.75,-19.75
20160106,yes,ok,1.0,resolved,ok,39.75,resolved,ok,0.0,39.75,0.0,0.0,2013-19,39.75,39.75
20160107,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160108,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160111,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160112,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160113,yes,ok,-1.0,resolved,ok,27.25,resolved,ok,0.0,27.25,0.0,0.0,2013-19,27.25,27.25
20160114,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,-10.5,-19.75,0.0,-10.5,2013-19,-9.25,-9.25
20160115,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160118,yes,ok,-1.0,unknown,detector:missing_v7m_bar:753,,unknown,detector:missing_v7m_bar:753,,-1.5,0.0,0.0,2013-19,,
20160119,yes,ok,-1.0,resolved,ok,24.75,resolved,ok,0.0,24.75,0.0,0.0,2013-19,24.75,24.75
20160120,yes,ok,1.0,resolved,ok,-30.75,resolved,ok,-11.0,-19.75,-11.0,-11.0,2013-19,-19.75,-19.75
20160121,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160122,yes,ok,1.0,resolved,ok,11.25,resolved,ok,0.0,11.25,0.0,0.0,2013-19,11.25,11.25
20160125,yes,ok,1.0,resolved,ok,-7.0,resolved,ok,0.0,-7.0,0.0,0.0,2013-19,-7.0,-7.0
20160126,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160127,yes,ok,1.0,resolved,ok,-35.5,resolved,ok,-15.75,-19.75,-15.75,-15.75,2013-19,-19.75,-19.75
20160128,yes,ok,-1.0,resolved,ok,40.25,resolved,ok,0.0,40.25,0.0,0.0,2013-19,40.25,40.25
20160129,yes,ok,1.0,resolved,ok,38.75,resolved,ok,-7.75,38.75,0.0,-7.75,2013-19,46.5,46.5
20160201,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160202,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160203,yes,ok,-1.0,resolved,ok,74.0,resolved,ok,0.0,74.0,0.0,0.0,2013-19,74.0,74.0
20160204,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160205,yes,ok,-1.0,resolved,ok,90.25,resolved,ok,-3.25,90.25,0.0,-3.25,2013-19,93.5,93.5
20160208,yes,ok,-1.0,resolved,ok,21.0,resolved,ok,0.0,21.0,0.0,0.0,2013-19,21.0,21.0
20160209,yes,ok,1.0,resolved,ok,52.5,resolved,ok,0.0,52.5,0.0,0.0,2013-19,52.5,52.5
20160210,yes,ok,-1.0,resolved,ok,-23.0,resolved,ok,-3.25,-19.75,-3.25,-3.25,2013-19,-19.75,-19.75
20160211,yes,ok,1.0,unknown,missing_open_position_bar:595,,unknown,detector:missing_v7m_bar:599,,0.0,0.0,0.0,2013-19,,
20160212,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160215,yes,ok,-1.0,unknown,detector:missing_v7m_bar:725,,unknown,detector:missing_v7m_bar:725,,-4.75,0.0,0.0,2013-19,,
20160216,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160217,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160218,yes,ok,-1.0,resolved,ok,24.0,resolved,ok,0.0,24.0,0.0,0.0,2013-19,24.0,24.0
20160219,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160222,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160223,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160224,yes,ok,-1.0,resolved,ok,-0.25,resolved,ok,0.0,-0.25,0.0,0.0,2013-19,-0.25,-0.25
20160225,yes,ok,-1.0,resolved,ok,18.5,resolved,ok,0.0,18.5,0.0,0.0,2013-19,18.5,18.5
20160226,yes,ok,-1.0,resolved,ok,25.5,resolved,ok,0.0,25.5,0.0,0.0,2013-19,25.5,25.5
20160229,yes,ok,-1.0,resolved,ok,-22.5,resolved,ok,-2.75,-19.75,-2.75,-2.75,2013-19,-19.75,-19.75
20160301,yes,ok,-1.0,resolved,ok,-30.25,resolved,ok,-10.5,-19.75,-10.5,-10.5,2013-19,-19.75,-19.75
20160302,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160303,yes,ok,-1.0,resolved,ok,23.0,resolved,ok,0.0,23.0,0.0,0.0,2013-19,23.0,23.0
20160304,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,-9.75,-19.75,0.0,-9.75,2013-19,-10.0,-10.0
20160307,yes,ok,-1.0,resolved,ok,-11.75,resolved,ok,0.0,-11.75,0.0,0.0,2013-19,-11.75,-11.75
20160308,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160309,yes,ok,-1.0,resolved,ok,-8.5,resolved,ok,0.0,-8.5,0.0,0.0,2013-19,-8.5,-8.5
20160310,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160311,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160314,yes,ok,1.0,resolved,ok,16.25,resolved,ok,0.0,16.25,0.0,0.0,2013-19,16.25,16.25
20160315,yes,ok,-1.0,resolved,ok,-10.5,resolved,ok,0.0,-10.5,0.0,0.0,2013-19,-10.5,-10.5
20160316,yes,ok,1.0,resolved,ok,16.75,resolved,ok,0.0,16.75,0.0,0.0,2013-19,16.75,16.75
20160317,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160318,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160321,yes,ok,1.0,resolved,ok,7.0,resolved,ok,0.0,7.0,0.0,0.0,2013-19,7.0,7.0
20160322,yes,ok,1.0,resolved,ok,22.75,resolved,ok,0.0,22.75,0.0,0.0,2013-19,22.75,22.75
20160323,yes,ok,-1.0,resolved,ok,18.5,resolved,ok,0.0,18.5,0.0,0.0,2013-19,18.5,18.5
20160324,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160325,no,calendar_closed,,not_in_P0,calendar_closed,,not_in_P0,calendar_closed,,,,,2013-19,,
20160328,yes,ok,-1.0,resolved,ok,0.25,resolved,ok,0.0,0.25,0.0,0.0,2013-19,0.25,0.25
20160329,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160330,yes,ok,-1.0,resolved,ok,-24.5,resolved,ok,-4.75,-19.75,-4.75,-4.75,2013-19,-19.75,-19.75
20160331,yes,ok,1.0,resolved,ok,6.0,resolved,ok,0.0,6.0,0.0,0.0,2013-19,6.0,6.0
20160401,yes,ok,-1.0,resolved,ok,-25.25,resolved,ok,-5.5,-19.75,-5.5,-5.5,2013-19,-19.75,-19.75
20160404,yes,ok,-1.0,resolved,ok,12.25,resolved,ok,-2.75,12.25,0.0,-2.75,2013-19,15.0,15.0
20160405,yes,ok,1.0,resolved,ok,3.0,resolved,ok,0.0,3.0,0.0,0.0,2013-19,3.0,3.0
20160406,yes,ok,1.0,resolved,ok,27.75,resolved,ok,0.0,27.75,0.0,0.0,2013-19,27.75,27.75
20160407,yes,ok,-1.0,resolved,ok,27.25,resolved,ok,0.0,27.25,0.0,0.0,2013-19,27.25,27.25
20160408,yes,ok,-1.0,resolved,ok,20.5,resolved,ok,0.0,20.5,0.0,0.0,2013-19,20.5,20.5
20160411,yes,ok,-1.0,resolved,ok,-22.5,resolved,ok,-2.75,-19.75,-2.75,-2.75,2013-19,-19.75,-19.75
20160412,yes,ok,-1.0,resolved,ok,-24.25,resolved,ok,-4.5,-19.75,-4.5,-4.5,2013-19,-19.75,-19.75
20160413,yes,ok,-1.0,resolved,ok,-24.25,resolved,ok,-4.5,-19.75,-4.5,-4.5,2013-19,-19.75,-19.75
20160414,yes,ok,-1.0,resolved,ok,-1.25,resolved,ok,0.0,-1.25,0.0,0.0,2013-19,-1.25,-1.25
20160415,yes,ok,1.0,resolved,ok,5.5,resolved,ok,0.0,5.5,0.0,0.0,2013-19,5.5,5.5
20160418,yes,ok,1.0,resolved,ok,21.5,resolved,ok,-6.25,21.5,0.0,-6.25,2013-19,27.75,27.75
20160419,yes,ok,-1.0,resolved,ok,21.25,resolved,ok,-6.0,21.25,0.0,-6.0,2013-19,27.25,27.25
20160420,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160421,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160422,yes,ok,1.0,resolved,ok,-24.5,resolved,ok,-4.75,-19.75,-4.75,-4.75,2013-19,-19.75,-19.75
20160425,yes,ok,1.0,resolved,ok,-4.0,resolved,ok,0.0,-4.0,0.0,0.0,2013-19,-4.0,-4.0
20160426,yes,ok,-1.0,resolved,ok,23.0,resolved,ok,0.0,23.0,0.0,0.0,2013-19,23.0,23.0
20160427,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160428,yes,ok,-1.0,resolved,ok,7.25,resolved,ok,27.0,-19.75,27.0,27.0,2013-19,-19.75,-19.75
20160429,yes,ok,-1.0,resolved,ok,41.75,resolved,ok,-5.0,41.75,0.0,-5.0,2013-19,46.75,46.75
20160502,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160503,yes,ok,-1.0,resolved,ok,16.75,resolved,ok,0.0,16.75,0.0,0.0,2013-19,16.75,16.75
20160504,yes,ok,1.0,resolved,ok,-9.25,resolved,ok,0.0,-9.25,0.0,0.0,2013-19,-9.25,-9.25
20160505,yes,ok,-1.0,resolved,ok,2.25,resolved,ok,0.0,2.25,0.0,0.0,2013-19,2.25,2.25
20160506,yes,ok,1.0,resolved,ok,2.75,resolved,ok,0.0,2.75,0.0,0.0,2013-19,2.75,2.75
20160509,yes,ok,1.0,resolved,ok,-1.25,resolved,ok,-3.75,-1.25,0.0,-3.75,2013-19,2.5,2.5
20160510,yes,ok,1.0,resolved,ok,19.5,resolved,ok,-4.25,19.5,0.0,-4.25,2013-19,23.75,23.75
20160511,yes,ok,-1.0,resolved,ok,4.25,resolved,ok,0.0,4.25,0.0,0.0,2013-19,4.25,4.25
20160512,yes,ok,-1.0,resolved,ok,48.25,resolved,ok,-2.0,48.25,0.0,-2.0,2013-19,50.25,50.25
20160513,yes,ok,1.0,resolved,ok,15.5,resolved,ok,0.0,15.5,0.0,0.0,2013-19,15.5,15.5
20160516,yes,ok,1.0,resolved,ok,33.5,resolved,ok,0.0,33.5,0.0,0.0,2013-19,33.5,33.5
20160517,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160518,yes,ok,1.0,resolved,ok,24.5,resolved,ok,0.0,24.5,0.0,0.0,2013-19,24.5,24.5
20160519,yes,ok,1.0,resolved,ok,-24.75,resolved,ok,-5.0,-19.75,-5.0,-5.0,2013-19,-19.75,-19.75
20160520,yes,ok,1.0,resolved,ok,37.0,resolved,ok,8.25,37.0,0.0,8.25,2013-19,28.75,28.75
20160523,yes,ok,1.0,resolved,ok,0.75,resolved,ok,0.0,0.75,0.0,0.0,2013-19,0.75,0.75
20160524,yes,ok,1.0,resolved,ok,46.25,resolved,ok,19.5,46.25,0.0,19.5,2013-19,26.75,26.75
20160525,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160526,yes,ok,1.0,resolved,ok,-2.5,resolved,ok,0.0,-2.5,0.0,0.0,2013-19,-2.5,-2.5
20160527,yes,ok,1.0,resolved,ok,13.5,resolved,ok,0.0,13.5,0.0,0.0,2013-19,13.5,13.5
20160530,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,unknown,missing_decision_prefix_bar:548,,,,,2013-19,,
20160531,yes,ok,-1.0,resolved,ok,1.75,resolved,ok,0.0,1.75,0.0,0.0,2013-19,1.75,1.75
20160601,yes,ok,1.0,resolved,ok,6.75,resolved,ok,0.0,6.75,0.0,0.0,2013-19,6.75,6.75
20160602,yes,ok,-1.0,resolved,ok,-2.25,resolved,ok,0.0,-2.25,0.0,0.0,2013-19,-2.25,-2.25
20160603,yes,ok,1.0,resolved,ok,-23.5,resolved,ok,-3.75,-19.75,-3.75,-3.75,2013-19,-19.75,-19.75
20160606,yes,ok,-1.0,resolved,ok,-15.0,resolved,ok,0.0,-15.0,0.0,0.0,2013-19,-15.0,-15.0
20160607,yes,ok,-1.0,resolved,ok,-2.0,resolved,ok,0.0,-2.0,0.0,0.0,2013-19,-2.0,-2.0
20160608,yes,ok,-1.0,resolved,ok,-0.5,resolved,ok,0.0,-0.5,0.0,0.0,2013-19,-0.5,-0.5
20160609,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,unknown,missing_decision_prefix_bar:551,,,,,2013-19,,
20160610,yes,ok,1.0,resolved,ok,-2.5,resolved,ok,0.0,-2.5,0.0,0.0,2013-19,-2.5,-2.5
20160613,yes,ok,1.0,resolved,ok,-1.5,resolved,ok,0.0,-1.5,0.0,0.0,2013-19,-1.5,-1.5
20160614,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160615,yes,ok,-1.0,resolved,ok,7.5,resolved,ok,0.0,7.5,0.0,0.0,2013-19,7.5,7.5
20160616,yes,ok,-1.0,resolved,ok,10.5,resolved,ok,-5.0,10.5,0.0,-5.0,2013-19,15.5,15.5
20160617,yes,ok,-1.0,resolved,ok,42.0,resolved,ok,14.75,42.0,0.0,14.75,2013-19,27.25,27.25
20160620,yes,ok,-1.0,resolved,ok,-22.25,resolved,ok,-2.5,-19.75,-2.5,-2.5,2013-19,-19.75,-19.75
20160621,yes,ok,1.0,resolved,ok,-7.5,resolved,ok,0.0,-7.5,0.0,0.0,2013-19,-7.5,-7.5
20160622,yes,ok,1.0,resolved,ok,12.0,resolved,ok,0.0,12.0,0.0,0.0,2013-19,12.0,12.0
20160623,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160624,yes,ok,1.0,resolved,ok,15.0,resolved,ok,0.0,15.0,0.0,0.0,2013-19,15.0,15.0
20160627,yes,ok,-1.0,resolved,ok,42.0,resolved,ok,23.5,42.0,0.0,23.5,2013-19,18.5,18.5
20160628,yes,ok,1.0,resolved,ok,5.5,resolved,ok,-4.5,5.5,0.0,-4.5,2013-19,10.0,10.0
20160629,yes,ok,1.0,resolved,ok,25.5,resolved,ok,0.0,25.5,0.0,0.0,2013-19,25.5,25.5
20160630,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160701,yes,ok,1.0,resolved,ok,27.75,resolved,ok,-4.75,27.75,0.0,-4.75,2013-19,32.5,32.5
20160704,yes,ok,1.0,resolved,ok,-5.75,resolved,ok,0.0,-5.75,0.0,0.0,2013-19,-5.75,-5.75
20160705,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160706,yes,ok,1.0,resolved,ok,29.75,resolved,ok,-3.75,33.5,-3.75,-3.75,2013-19,33.5,33.5
20160707,yes,ok,1.0,resolved,ok,-6.75,resolved,ok,0.0,-6.75,0.0,0.0,2013-19,-6.75,-6.75
20160708,yes,ok,1.0,resolved,ok,36.25,resolved,ok,0.0,36.25,0.0,0.0,2013-19,36.25,36.25
20160711,yes,ok,1.0,resolved,ok,11.5,resolved,ok,0.0,11.5,0.0,0.0,2013-19,11.5,11.5
20160712,yes,ok,1.0,resolved,ok,-2.5,resolved,ok,0.0,-2.5,0.0,0.0,2013-19,-2.5,-2.5
20160713,yes,ok,-1.0,resolved,ok,4.25,resolved,ok,0.0,4.25,0.0,0.0,2013-19,4.25,4.25
20160714,yes,ok,-1.0,resolved,ok,-0.5,resolved,ok,0.0,-0.5,0.0,0.0,2013-19,-0.5,-0.5
20160715,yes,ok,1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160718,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160719,yes,ok,1.0,resolved,ok,3.0,resolved,ok,0.0,3.0,0.0,0.0,2013-19,3.0,3.0
20160720,yes,ok,-1.0,resolved,ok,-19.75,resolved,ok,0.0,-19.75,0.0,0.0,2013-19,-19.75,-19.75
20160721,yes,ok,-1.0,resolved,ok,-0.5,resolved,ok,0.0,-0.5,0.0,0.0,2013-19,-0.5,-0.5
